"wt_d4","wt_d8","wt_12","pre_idbatchcage","mean_con_ng_ul","batch","period","post_idbatch","pre_idbatch","group","time","Postds","Postrank","Preds","Prerank","condition"
39.3,38.7,39.2,"1Batch1Cage1",81.1378740131697,1,"Pre","1-1Batch1","1Batch1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
39.3,38.7,39.2,"1Batch1Cage1",81.1378740131697,1,"Pre","1-1Batch1","1Batch1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
39.3,38.7,39.2,"1Batch1Cage1",71.8388019515396,1,"Post","1-1Batch1","1Batch1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
39.3,38.7,39.2,"1Batch1Cage1",71.8388019515396,1,"Post","1-1Batch1","1Batch1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same"
40.3,39.1,35.6,"1Batch1Cage2",178.052370976966,1,"Pre","2-1Batch1","1Batch1","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
40.3,39.1,35.6,"1Batch1Cage2",178.052370976966,1,"Pre","2-1Batch1","1Batch1","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
40.3,39.1,35.6,"1Batch1Cage2",219.444441343995,1,"Post","2-1Batch1","1Batch1","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
40.3,39.1,35.6,"1Batch1Cage2",219.444441343995,1,"Post","2-1Batch1","1Batch1","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders"
37.3,38.2,39.5,"2Batch1Cage2",91.4392665301958,1,"Pre","2-2Batch1","2Batch1","reorganized","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders"
37.3,38.2,39.5,"2Batch1Cage2",91.4392665301958,1,"Pre","2-2Batch1","2Batch1","reorganized","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders"
37.3,38.2,39.5,"2Batch1Cage2",33.1494729740813,1,"Post","2-2Batch1","2Batch1","reorganized","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders"
37.3,38.2,39.5,"2Batch1Cage2",33.1494729740813,1,"Post","2-2Batch1","2Batch1","reorganized","25hr",4.49935064935065,1,-4.08791208791209,4,"ascenders"
31.1,31.3,32.1,"3Batch1Cage2",105.968279643107,1,"Post","2-3Batch1","3Batch1","reorganized","25hr",4.80812478376196,1,-3.19736842105263,3,"ascenders"
31.1,31.3,32.1,"3Batch1Cage2",105.968279643107,1,"Post","2-3Batch1","3Batch1","reorganized","25hr",4.80812478376196,1,-3.19736842105263,3,"ascenders"
37.4,39.9,37.5,"4Batch1Cage3",63.2191842068653,1,"Pre","3-4Batch1","4Batch1","reorganized","25hr",-1.18227424749164,3,-1.3,3,"same"
37.4,39.9,37.5,"4Batch1Cage3",63.2191842068653,1,"Pre","3-4Batch1","4Batch1","reorganized","25hr",-1.18227424749164,3,-1.3,3,"same"
37.3,39.5,38.2,"2Batch1Cage4",143.683519686337,1,"Post","4-2Batch1","2Batch1","control","25hr",-0.738888888888889,3,-1.33103448275862,3,"control"
37.3,39.5,38.2,"2Batch1Cage4",143.683519686337,1,"Post","4-2Batch1","2Batch1","control","25hr",-0.738888888888889,3,-1.33103448275862,3,"control"
42.8,42.8,37.6,"3Batch1Cage5",142.469040692991,1,"Post","5-3Batch1","3Batch1","reorganized","25hr",-0.933333333333333,3,5.55641025641026,1,"descenders"
42.8,42.8,37.6,"3Batch1Cage5",142.469040692991,1,"Post","5-3Batch1","3Batch1","reorganized","25hr",-0.933333333333333,3,5.55641025641026,1,"descenders"
37.1,37.2,37.5,"1Batch2Cage1",31.1995983376098,2,"Pre","1-1Batch2","1Batch2","reorganized","25hr",-2.61904761904762,3,4.76734449760766,1,"descenders"
37.1,37.2,37.5,"1Batch2Cage1",31.1995983376098,2,"Pre","1-1Batch2","1Batch2","reorganized","25hr",-2.61904761904762,3,4.76734449760766,1,"descenders"
37.1,37.2,37.5,"1Batch2Cage1",215.326865571699,2,"Post","1-1Batch2","1Batch2","reorganized","25hr",-2.61904761904762,3,4.76734449760766,1,"descenders"
37.1,37.2,37.5,"1Batch2Cage1",215.326865571699,2,"Post","1-1Batch2","1Batch2","reorganized","25hr",-2.61904761904762,3,4.76734449760766,1,"descenders"
31.5,32.3,34.6,"4Batch2Cage1",166.940101643303,2,"Pre","1-4Batch2","4Batch2","reorganized","25hr",-0.850245098039216,3,-2.23474880382775,3,"same"
31.5,32.3,34.6,"4Batch2Cage1",166.940101643303,2,"Pre","1-4Batch2","4Batch2","reorganized","25hr",-0.850245098039216,3,-2.23474880382775,3,"same"
31.5,32.3,34.6,"4Batch2Cage1",68.774488876823,2,"Post","1-4Batch2","4Batch2","reorganized","25hr",-0.850245098039216,3,-2.23474880382775,3,"same"
31.5,32.3,34.6,"4Batch2Cage1",68.774488876823,2,"Post","1-4Batch2","4Batch2","reorganized","25hr",-0.850245098039216,3,-2.23474880382775,3,"same"
36.6,39,38.8,"1Batch2Cage2",34.8643152334486,2,"Pre","2-1Batch2","1Batch2","reorganized","25hr",-3.84473684210526,4,-5.17948717948718,4,"same"
36.6,39,38.8,"1Batch2Cage2",34.8643152334486,2,"Pre","2-1Batch2","1Batch2","reorganized","25hr",-3.84473684210526,4,-5.17948717948718,4,"same"
36.6,39,38.8,"1Batch2Cage2",95.7487417191344,2,"Post","2-1Batch2","1Batch2","reorganized","25hr",-3.84473684210526,4,-5.17948717948718,4,"same"
36.6,39,38.8,"1Batch2Cage2",95.7487417191344,2,"Post","2-1Batch2","1Batch2","reorganized","25hr",-3.84473684210526,4,-5.17948717948718,4,"same"
33.4,36.3,36.2,"2Batch2Cage2",75.1428843572082,2,"Pre","2-2Batch2","2Batch2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
33.4,36.3,36.2,"2Batch2Cage2",75.1428843572082,2,"Pre","2-2Batch2","2Batch2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
33.4,36.3,36.2,"2Batch2Cage2",63.7797764664114,2,"Post","2-2Batch2","2Batch2","reorganized","25hr",4.43722943722944,1,4.77380952380952,1,"same"
